{'loss': 1.489, 'grad_norm': 19775098.0, 'learning_rate': 4.929078014184397e-05, 'epoch': 0.04}
{'loss': 0.5588, 'grad_norm': 4776881.5, 'learning_rate': 4.858156028368794e-05, 'epoch': 0.08}
{'loss': 0.5559, 'grad_norm': 552998.75, 'learning_rate': 4.787234042553192e-05, 'epoch': 0.13}
{'loss': 0.5118, 'grad_norm': 2000586.5, 'learning_rate': 4.716312056737589e-05, 'epoch': 0.17}
{'loss': 0.5603, 'grad_norm': 4665270.5, 'learning_rate': 4.645390070921986e-05, 'epoch': 0.21}
{'loss': 0.4898, 'grad_norm': 3554611.75, 'learning_rate': 4.574468085106383e-05, 'epoch': 0.25}
{'loss': 0.5347, 'grad_norm': 3296738.5, 'learning_rate': 4.50354609929078e-05, 'epoch': 0.3}
{'loss': 0.4885, 'grad_norm': 5687507.5, 'learning_rate': 4.432624113475177e-05, 'epoch': 0.34}
{'loss': 0.4756, 'grad_norm': 4187517.0, 'learning_rate': 4.3617021276595746e-05, 'epoch': 0.38}
{'loss': 0.3957, 'grad_norm': 3392386.0, 'learning_rate': 4.2907801418439716e-05, 'epoch': 0.42}
{'loss': 0.4815, 'grad_norm': 5359913.0, 'learning_rate': 4.219858156028369e-05, 'epoch': 0.47}
{'loss': 0.4613, 'grad_norm': 5806255.0, 'learning_rate': 4.148936170212766e-05, 'epoch': 0.51}
{'loss': 0.4302, 'grad_norm': 5741229.0, 'learning_rate': 4.078014184397163e-05, 'epoch': 0.55}
{'loss': 0.3688, 'grad_norm': 2285078.75, 'learning_rate': 4.007092198581561e-05, 'epoch': 0.59}
{'loss': 0.4183, 'grad_norm': 7832567.5, 'learning_rate': 3.936170212765958e-05, 'epoch': 0.64}
{'loss': 0.3975, 'grad_norm': 2125661.25, 'learning_rate': 3.865248226950355e-05, 'epoch': 0.68}
{'loss': 0.3508, 'grad_norm': 6605413.0, 'learning_rate': 3.794326241134752e-05, 'epoch': 0.72}
{'loss': 0.4548, 'grad_norm': 1951289.375, 'learning_rate': 3.723404255319149e-05, 'epoch': 0.76}
{'loss': 0.4688, 'grad_norm': 7604746.0, 'learning_rate': 3.6524822695035466e-05, 'epoch': 0.81}
{'loss': 0.3678, 'grad_norm': 2584365.75, 'learning_rate': 3.5815602836879437e-05, 'epoch': 0.85}
{'loss': 0.3741, 'grad_norm': 7546369.5, 'learning_rate': 3.5106382978723407e-05, 'epoch': 0.89}
{'loss': 0.3576, 'grad_norm': 7047030.5, 'learning_rate': 3.4397163120567377e-05, 'epoch': 0.93}
{'loss': 0.4152, 'grad_norm': 6857457.5, 'learning_rate': 3.3687943262411347e-05, 'epoch': 0.98}
{'eval_loss': 0.3851208984851837, 'eval_accuracy': 0.8319411296738266, 'eval_f1': 0.561038961038961, 'eval_precision': 0.6178489702517163, 'eval_recall': 0.5137963843958135, 'eval_runtime': 23.7174, 'eval_samples_per_second': 211.996, 'eval_steps_per_second': 6.662, 'epoch': 1.0}
{'loss': 0.4016, 'grad_norm': 3000863.0, 'learning_rate': 3.2978723404255317e-05, 'epoch': 1.02}
{'loss': 0.4398, 'grad_norm': 2769828.5, 'learning_rate': 3.226950354609929e-05, 'epoch': 1.06}
{'loss': 0.419, 'grad_norm': 6687958.0, 'learning_rate': 3.156028368794326e-05, 'epoch': 1.11}
{'loss': 0.3318, 'grad_norm': 1307510.625, 'learning_rate': 3.085106382978723e-05, 'epoch': 1.15}
{'loss': 0.3584, 'grad_norm': 5441777.5, 'learning_rate': 3.0141843971631207e-05, 'epoch': 1.19}
{'loss': 0.3772, 'grad_norm': 1883344.5, 'learning_rate': 2.9432624113475177e-05, 'epoch': 1.23}
{'loss': 0.3761, 'grad_norm': 871363.1875, 'learning_rate': 2.8723404255319154e-05, 'epoch': 1.28}
{'loss': 0.3831, 'grad_norm': 4593499.0, 'learning_rate': 2.8014184397163124e-05, 'epoch': 1.32}
{'loss': 0.424, 'grad_norm': 7879302.0, 'learning_rate': 2.7304964539007094e-05, 'epoch': 1.36}
{'loss': 0.3591, 'grad_norm': 2388075.0, 'learning_rate': 2.6595744680851064e-05, 'epoch': 1.4}
{'loss': 0.3726, 'grad_norm': 972355.0625, 'learning_rate': 2.5886524822695034e-05, 'epoch': 1.45}
{'loss': 0.4076, 'grad_norm': 2096227.625, 'learning_rate': 2.5177304964539007e-05, 'epoch': 1.49}
{'loss': 0.3593, 'grad_norm': 3058246.5, 'learning_rate': 2.446808510638298e-05, 'epoch': 1.53}
{'loss': 0.3896, 'grad_norm': 920220.75, 'learning_rate': 2.3758865248226954e-05, 'epoch': 1.57}
